timestamp,symbol,open,high,low,price,volume,latest_trading_day,previous_close,change,change_percent
2025-02-12T23:15:10.300642,META,715.62,727.1,712.85,725.38,11991664,2025-02-12,719.8,5.58,0.7752%
2025-02-12T23:15:10.955440,ORCL,174.18,174.45,170.71,172.2,7447163,2025-02-12,177.19,-4.99,-2.8162%
2025-02-12T23:15:11.159223,KO,67.1,68.82,66.98,68.7,26008902,2025-02-12,67.6,1.1,1.6272%
2025-02-13T01:18:56.753252,AAPL,231.2,236.96,230.68,236.87,44996462,2025-02-12,232.62,4.25,1.8270%
2025-02-13T01:18:56.821974,MSFT,407.21,410.75,404.3673,409.04,16600209,2025-02-12,411.44,-2.4,-0.5833%
2025-02-13T01:18:56.934996,GOOG,185.23,186.83,183.63,185.43,16814261,2025-02-12,187.07,-1.64,-0.8767%
2025-02-13T01:18:57.248869,NVDA,130.02,132.24,129.08,131.14,158857908,2025-02-12,132.8,-1.66,-1.2500%
2025-02-13T01:18:57.317201,IBM,252.72,256.4,252.02,255.81,3072551,2025-02-12,254.7,1.11,0.4358%
2025-02-13T01:18:57.434793,TSLA,329.94,346.4,329.12,336.51,103491589,2025-02-12,328.5,8.01,2.4384%
2025-02-13T01:18:57.549398,AMZN,230.46,231.18,228.16,228.93,30375021,2025-02-12,232.76,-3.83,-1.6455%
2025-02-13T01:18:57.627379,META,715.3,727.1,712.6,725.38,11700714,2025-02-12,719.8,5.58,0.7752%
2025-02-13T01:18:57.690282,ORCL,174.89,174.89,170.71,172.22,7363719,2025-02-12,177.19,-4.97,-2.8049%
2025-02-13T01:18:57.767548,KO,66.87,68.82,66.87,68.71,25035570,2025-02-12,67.6,1.11,1.6420%
2025-02-13T02:47:22.076944,AAPL,231.2,236.96,230.68,236.87,45243292,2025-02-12,232.62,4.25,1.8270%
2025-02-13T02:47:22.220001,MSFT,407.21,410.75,404.3673,409.04,19121734,2025-02-12,411.44,-2.4,-0.5833%
2025-02-13T02:47:22.329144,GOOG,185.23,186.83,183.63,185.43,17632314,2025-02-12,187.07,-1.64,-0.8767%
2025-02-13T02:47:22.437085,NVDA,130.02,132.24,129.08,131.14,160278552,2025-02-12,132.8,-1.66,-1.2500%
2025-02-13T02:47:22.540191,IBM,252.72,256.4,252.02,255.81,3075308,2025-02-12,254.7,1.11,0.4358%
2025-02-13T02:47:22.719645,TSLA,329.94,346.4,329.12,336.51,103491589,2025-02-12,328.5,8.01,2.4384%
2025-02-13T02:47:22.841035,AMZN,230.46,231.18,228.16,228.93,32285249,2025-02-12,232.76,-3.83,-1.6455%
2025-02-13T02:47:22.938106,META,715.3,727.1,712.6,725.38,12016517,2025-02-12,719.8,5.58,0.7752%
2025-02-13T02:47:23.048560,ORCL,174.89,174.89,170.71,172.22,7454841,2025-02-12,177.19,-4.97,-2.8049%
2025-02-13T02:47:23.162578,KO,66.87,68.82,66.87,68.71,26033764,2025-02-12,67.6,1.11,1.6420%
2025-02-13T03:20:33.369665,AAPL,231.2,236.96,230.68,236.87,45243292,2025-02-12,232.62,4.25,1.8270%
2025-02-13T03:20:33.429603,MSFT,407.21,410.75,404.3673,409.04,19121734,2025-02-12,411.44,-2.4,-0.5833%
2025-02-13T03:20:33.480715,GOOG,185.23,186.83,183.63,185.43,17632314,2025-02-12,187.07,-1.64,-0.8767%
2025-02-13T03:20:33.540194,NVDA,130.02,132.24,129.08,131.14,160278552,2025-02-12,132.8,-1.66,-1.2500%
2025-02-13T03:20:33.589322,IBM,252.72,256.4,252.02,255.81,3075308,2025-02-12,254.7,1.11,0.4358%
2025-02-13T03:20:33.630055,TSLA,329.94,346.4,329.12,336.51,103491589,2025-02-12,328.5,8.01,2.4384%
2025-02-13T03:20:33.667613,AMZN,230.46,231.18,228.16,228.93,32285249,2025-02-12,232.76,-3.83,-1.6455%
2025-02-13T03:20:33.720468,META,715.3,727.1,712.6,725.38,12016517,2025-02-12,719.8,5.58,0.7752%
2025-02-13T03:20:33.767395,ORCL,174.89,174.89,170.71,172.22,7454841,2025-02-12,177.19,-4.97,-2.8049%
